giornata,data,ora,teamA,teamB,pt A,pt B,teamA_slug,teamB_slug
11° GIORNATA,DOMENICA 13 DICEMBRE,Ore 19:00 ,Dolomiti Energia Trento,Acqua S.Bernardo Cantù,74,73,Trento,Cantù
12°GIORNATA,SABATO 19 DICEMBRE,Ore 20:00 ,Happy Casa Brindisi,Carpegna Prosciutto Pesaro,81,92,Brindisi,Pesaro
12°GIORNATA,DOMENICA 20 DICEMBRE,Ore 17:00 ,A|X Armani Exchange Milano,Banco di Sardegna Sassari,102,86,Milano,Sassari
12°GIORNATA,DOMENICA 20 DICEMBRE,Ore 17:30 ,De’Longhi Treviso,Virtus Bologna,72,98,Treviso,Virtus Bologna
12°GIORNATA,DOMENICA 20 DICEMBRE,Ore 18:00 ,Umana Reyer Venezia,Openjobmetis Varese,86,77,Venezia,Varese
12°GIORNATA,DOMENICA 20 DICEMBRE,Ore 18:30 ,Fortitudo Lavoropiù Bologna,Vanoli Cremona,85,71,Fortitudo Bologna,Cremona
12°GIORNATA,DOMENICA 20 DICEMBRE,Ore 19:00 ,Acqua S.Bernardo Cantù,Germani Brescia,98,92,Cantù,Brescia
12°GIORNATA,DOMENICA 20 DICEMBRE,Ore 20:45 ,Allianz Trieste,Dolomiti Energia Trento,92,82,Trieste,Trento
13° GIORNATA,SABATO 26 DICEMBRE,Ore 20.30 ,Unahotels Reggio Emilia,Acqua S.Bernardo Cantù,68,78,Emilia,Cantù
13° GIORNATA,DOMENICA 27 DICEMBRE,Ore 12:00 ,Banco di Sardegna Sassari,Germani Brescia,100,87,Sassari,Brescia
13° GIORNATA,DOMENICA 27 DICEMBRE,Ore 16:00 ,Carpegna Prosciutto Pesaro,Allianz Trieste,84,74,Pesaro,Trieste
13° GIORNATA,DOMENICA 27 DICEMBRE,Ore 17:00 ,Openjobmetis Varese,De’Longhi Treviso,79,80,Varese,Treviso
13° GIORNATA,DOMENICA 27 DICEMBRE,Ore 17:15 ,Virtus Bologna,A|X Armani Exchange Milano,68,73,Virtus Bologna,Milano
13° GIORNATA,DOMENICA 27 DICEMBRE,Ore 18:00,Fortitudo Lavoropiù Bologna,Umana Reyer Venezia,76,72,Fortitudo Bologna,Venezia
13° GIORNATA,DOMENICA 27 DICEMBRE,Ore 20:00,Vanoli Cremona,Happy Casa Brindisi,96,94,Cremona,Brindisi
14° GIORNATA,SABATO 2 GENNAIO,Ore 20.00 ,Acqua S.Bernardo Cantù,Fortitudo Lavoropiù Bologna,67,80,Cantù,Fortitudo Bologna
14° GIORNATA,DOMENICA 3 GENNAIO,Ore 17:00 ,Unahotels Reggio Emilia,Banco di Sardegna Sassari,78,85,Emilia,Sassari
14° GIORNATA,DOMENICA 3 GENNAIO,Ore 17:30 ,De’Longhi Treviso,Umana Reyer Venezia,86,88,Treviso,Venezia
14° GIORNATA,DOMENICA 3 GENNAIO,Ore 18:00 ,A|X Armani Exchange Milano,Carpegna Prosciutto Pesaro,97,93,Milano,Pesaro
14° GIORNATA,DOMENICA 3 GENNAIO,Ore 19:00 ,Happy Casa Brindisi,Dolomiti Energia Trento,74,73,Brindisi,Trento
